sku_name;price;sold;page;keyword;gmv_estimation
Bedcover Set Anti Geser Motif HK KONICHIWA UK 120X200-200X200;350000;1;1;konichiwa;350000
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;118000;0;1;konichiwa;0
Perempuan Anak bayi bayi Bayi KONICHIWA Anak Import Dress heybaby Gaun;135000;0;1;konichiwa;0
Frame kacamata minus bulat konichiwa + lensa antiradiasi;99000;0;1;konichiwa;0
Frame kacamata minus bulat konichiwa + lensa antiradiasi;99000;0;1;konichiwa;0
"Frame kacamata baca minus plus
Konichiwa";90000;0;1;konichiwa;0
Terapik heybaby DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;85000;0;1;konichiwa;0
Frame kacamata bulat konichiwa;59000;0;1;konichiwa;0
SPREI SET KATUN PREMIUM BEVERLY HK KONICHIWA MERAH;120000;0;1;konichiwa;0
SPREI SET KATUN PREMIUM BEVERLY HK KONICHIWA PINK;120000;0;1;konichiwa;0
BEDCOVER SET KATUN PREMIUM KING | QUEEN | SINGLE MOTIF konichiwa;330000;0;1;konichiwa;0
Colourpop X hello kitty lipstick (konichiwa);100000;0;1;konichiwa;0
BEDCOVER SET KATUN STAR MOTIF KONICHIWA UKURAN 140 sd 200;455000;0;1;konichiwa;0
SPREI SET KATUN STAR MOTIF KONICHIWA UKURAN 90 sd 200;115000;0;1;konichiwa;0
BEDCOVER SET KATUN STAR MOTIF KONICHIWA UKURAN 90 sd 120;340000;0;1;konichiwa;0
Seprei Set Anti Geser Motif HK KONICHIWA UK 120X200-200X200;120000;0;1;konichiwa;0
BEDCOVER + SPREI SET KATUN PREMIUM BEVERLY HK KONICHIWA MERAH;365000;0;1;konichiwa;0
Jual SANDAL ANAK KONICHIWA UNISEX KIDS Murah;107500;0;1;konichiwa;0
Sprei set katun Star HK konichiwa p uk 200|180|160|140|120|100|90;125000;0;1;konichiwa;0
PROMO Buku Travelling / Konichiwa Japan! / Buku tentang Jepang / Buku;66000;0;1;konichiwa;0
Sprei set katun Star HK konichiwa r uk 200|180|160|140|120|100|90;125000;0;1;konichiwa;0
Smiggle Ori A5 Pencil Case Konichiwa;175000;0;1;konichiwa;0
Travelling Buku Buku tentang Travelling Jepang Japan Konichiwa Buku Je;71000;0;1;konichiwa;0
Sprei Bedcover Katun Star HK konichiwa p uk 200|180|160|140|120|100|90;360000;0;1;konichiwa;0
Sprei Bedcover Katun Star HK konichiwa r uk 200|180|160|140|120|100|90;360000;0;1;konichiwa;0
Bantal Terapi Sakura / Konichiwa Bantal Panas Belt + Magnet Tipis;201000;0;1;konichiwa;0
Promo Sarung Tangan Latex non Powder merk Konichiwa ukuran L Limited;89000;0;1;konichiwa;0
Konichiwa 65ml Parfum Dokyo J15 Pheromone 100% Original Jepang;260000;5;1;konichiwa;1300000
heybaby DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import Dress;86000;0;1;konichiwa;0
HappyOliver KONICHIWA Import Anak Dress Baju DRESS EBV Perempuan;134000;0;1;konichiwa;0
DRESS ANAK KONICHIWA EBV Baju Dress Anak Perempuan Import;114400;2;1;konichiwa;228800
SPREI KONICHIWA;140000;2;1;konichiwa;280000
Handuk Mandi Konichiwa Corak;39000;0;1;konichiwa;0
Paket lensa minus - frame kacamata pria wanita konichiwa Ready;139000;0;1;konichiwa;0
heybaby DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import Dress;1049000;0;1;konichiwa;0
BUKU MOTIVASI : KONICHIWA JAPAN!;100000;0;1;konichiwa;0
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;116000;0;1;konichiwa;0
VQ325 kaos distro pria konichiwa allsize ld98cm cotton 30s;83900;0;1;konichiwa;0
MYS243- HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Impo;918000;0;1;konichiwa;0
nanas honi sunpride - utuh;26000;9;5;Matoa;234000
jeruk medan manis 1 kg;30400;12;5;Matoa;364800
